"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
X002,523,66,15:50:00,"Golf bag with logo",150.00,"This Red White and Black golf bag is made by Taylor-Made with official NHL cresting for the Ottawa Senators Hockey Team, it is a full sized bag with aluminun legs.","Heather Mayhew"
Y040,524,66,15:50:00,"Dinner Voucher",50.00,"Dinner for TWO at the easily accessible Mamma Martino's ""Pasta and Pizzaria Restaurant"". Located at 624 The Queensway just West of Park Lawn. This voucher does not include alcoholic beverages, taxes, or gratuities. You'll love the atmosphere at Mamma Martino's !","Mamma Martino's"
Y033,525,66,15:50:00,"Shoeless Joe's Gift Certificate",100.00,"Everyone Loves a Gift from Shoeless Joe's Sports Grill. Located everywhere with something for everyone, Shoelss Joe's is the place to be. Great Fun and they're serious about their Food. Have a night out with someone special while watching the game.","Shoeless Joe's Sports Grill"
W013,526,66,15:50:00,"Wine Making Gift Card",100.00,"Swansea Brew Club located at 22 Ripley Ave. donates - a $ 100 Gift Card for Wine Making - enjoy the pleasure of selecting your own wine making ingredients and the ultimate good feeling to consume the wine you created.","Swansea Brew club"
X055,527,66,15:50:00,"Auto Repair Gift Certificate",100.00,"Specializing in all makes and models of Automobiles: Alignments - Air Conditioning - Tires - Exhausts - Tune Ups - Emission Testing (all vehicles)_ Brakes - Diagnostic & Trouble Shooting - Safety & CVOR Certificate, just to name a few. Please visit our Website: www.malverngarage.com ","Malvern Garage"
U045,529,67,16:00:00,"Gift Certificate for Professional Detailing",100.00,"Solo Customz does professional detailing.  Full details inside and outside, wax and tire shine - By appointment only.Solo Customz was founded in the late 90's by Benjamin Crawley A.K.A. Ben-G.  Ben-G has been in the taking part in lowriding for many years and has extensive knowledge of lowriding.  Solo Customz provides a different look of the lowriding scene with a staff of air and hydraulic specialists,no project is too big or too small for us. ","Solo Customz"
S148,530,67,16:00:00,"Munchkin Gift Basket",150.00,"This gift basket of Munchkin's high quality infant products is a parent's dream! All items are designed with safety and innovation   at the forefront. Sippy cups, baby bottles, bottle washer, infant spoons, toys and much, much more. Value: $150.",Munchkin
V001,531,67,16:00:00,"Ladies Yves Saint Laurent Sunglasses",250.00,"Ladies Vintage Sunglasses.Brand: Yves Saint LaurentStyle:  Square/Rectangle (Aviator style)Lens:  GradientColour:  Orange/Brown mix ","Kings of Past"
T032,532,67,16:00:00,"Wine Sampler Basket",100.00,"Grape donates-A wine basket consisting of one bottle of Fine Red and one bottle of Fine White wine complete with corkscrew.Grape is dedicated to offering artisanal wines, beers, and spirits in all price categories from around the world for your enjoyment. Most of our partners are family owned and operated.",Grape
W032,533,67,16:00:00,"Philips Electric Toothbrush",125.00,"Royal York Dental located at 3034 Bloor Street West donates - a Philips Sonicare Electric Toothbrush - complete with Deluxe Electric Charger and Two Hygenic Brush Caps and Travel Case - Enjoy better dental health and a great smile - courtesy of Royal York Dental","Royal York Dental"
S097,534,67,16:00:00,"Yoga pass and body sugaring treatment",125.00,"5 class yoga pass and $50 certificate for body sugaring.East Village Yoga & Pilates servicing Durham and the eastern GTA, is a full-service yoga and pilates studio offering a complete range of classes each week for every level of student. It is a place where friends can gather to build a community of like hearts and minds in the fine traditions of Yoga and Pilates. Whether you are a seasoned practitioner or a new student you will find a home at East village yoga & Pilates that will challenge your body, heart and mind. Welcome to the Village where each individual can be fully and authentically themselves.Body SugaringEast Village yoga uses the ancient Middle Egyptian recipe that has stood the test of time. Body Sugaring is a gentler, safer and truly progressive method of hair removal for all parts of the body. It is effective on all skin types and hair textures for both men and women. The sugaring paste is a unique blend of natural ingredients with no chemical additives so there is no feat of any harmful side effects. You will also find that with regular treatments not only is the re-growth of hair much finer and more sparse, but the process itself acts as a skin cleanser.","East Village Yoga"
U068,535,67,16:00:00,"Curves 6 Month Membership",350.00,"Scarborough - Central.  Certificate gives you a 6 month membership.  Much be redeemed by Jan. 31, 2012.  ""For First Time Visitors Only"".","Curves for Women"
W043,537,68,16:10:00,"Assorted Royale Paper Products",98.00,"Irving Tissue Toronto donates - an assortment of Royale Paper Products - The set consists of Two x 6 Roll Pack Paper Towels / Twelve x 4 Roll Pack Toilet Tissue / Six x 120 Pack Ultra Serviettes / Eightteen x 132 Sheet Boxes Facial Tissue - all these High Quality Royale Paper Products for your home are courtesy of Irving Tissue","Irving Consumer Products"
S295,538,68,16:10:00,"Signed photo of Former Blue Jay Paul Spoljaric",100.00,"Another great item for the ""man cave"" in your home!  This photo was signed by former Blue Jay Pitcher, Paul Spoljaric.  Thanks to Toronto East General Hospital for this piece of Toronto Blue Jay History.  Once again Toronto East General Hospital has been a major health care provider in the Toronto area for over 80 years and we at the Rotary Club of East York have been happy to partner with them on many projects over our 60 year history as the local Rotary Club.  Thank you TEGH for your support.","Toronto East General Hospital"
U029,539,68,16:10:00,"Nike Golf - Womens Outerwear",105.00,"Womens X-Large, Black, Golf Outerwear. Therma- Fit - Full Zippered - Long Sleeve. Therma-Fit helps keep you warm and insulated. Get Warm, Stay Warm.","Friends of Rotary"
U021,540,68,16:10:00,"Slazenger Carry Lite Stand Golf Bag",125.00,"Slazenger Carry Lite Stand Golf Bag.  3.7 lbs., double strap for easy carrying, 6 EZ access pockets, zippered rain hood.  Golf Clearance Warehouse has 3 locations in the GTA to serve you.  Markham at 420 Denison St., 1477 Bayly St. in Pickering and 1119 Derry Road East in Mississauga.","Golf Clearance Warehouse"
S194,541,68,16:10:00,"Tai Chi and Meditation Centre",180.00,"The Tai Chi and Meditation Centre offers personal development training programs in Tai Chi Chuan, Qigong, Meditation and other mind-body integration arts in the City of Toronto. Options for training include one to several classes per week, weekend retreats, and workshops designed to improve your health and well-being, and give you the tools to cope in today's complex world.","Tai Chi and Meditation Centre"
U059,542,68,16:10:00,"Mary Poppins Tickets",250.00,"Tickets for 2 to see ""Mary Poppins"".  ","Deborah   Cloakey"
S055,543,68,16:10:00,"6 Car Washes and $25.00 Gas Card",100.00,"Toronto Autowash has kindly donated one $25.00 gas card as well as 6 car wash passes. Toronto Autowash offers Softfoam gentle fibre wash, these certificates entitle you to ""The Works"" a full exterior wash including polish, wax, sealer, bottom blaster and rust inhibitor. Perfect to keep your car sparkling during the coming months! Toronto Auto Wash has 4 Locations to serve you, 105 Millwood Rd.,Leaside, 305 Rexdale Blvd.,Rexdale, 751 Kipling Ave., Etobicoke, and Toronto City Hall.","Sal Badali"
W033,545,69,16:20:00,"Ladies 4 Piece Accessory Package",153.00,"Simply Chic Ladies Wear located at 2912 Bloor Street West donates - a Ladies 4 Piece Accessory Package - consists of a Blue and Grey Patterned Reversable Shawl / a Dark Grey Ladies Scarf / an Aromex Catalitic Diffuser with Honey Dew Scented Liquid to eliminate strong odors and a Burgandy Patterned Cloth Utility Bag - all 4 pieces courtesy of Simply Chic","Simply Chic"
S093,546,69,16:20:00,"Two Woman's Golf Shirt, Golf Balls and Gadgets",100.00,"We have a group of golfing items, one is a woman's golf shirt which is madeby Nike in size medium (8-10)another in size XL, fifteen golf balls which are Top Flite with XL distance, and a golf bag utility belt which is an organizer for cell phone, balls, glove, tees etc., it includes six tees, divot repair tool and ball marker.  Great for the lady golfer.  ","Friends of Rotary"
T010,547,69,16:20:00,"Golf Accessory Package",107.00,"Experienced and professional golf tournament specialists making your events successful and cost efficient.  Golf Tournaments Incorporated-GTI donates an Eagles Bag ""weekend bag"" with shoulder strap and golf accessories.  The package includes: One dozen noodle golf balls, Kobe black windvest (Men's XL), a sleeve of Noodle golf balls, Angus Glen Golf Towel, a bag of wooden tees and of course the very nice Eagles Bag.Golf Tournaments Incorporated-GTI- provides strategic planning to meet your needs.  Saving you time and money offering wholesale rates for golf prizes and special cost saving strategies.","Golf Tournaments Incorporated"
T028,548,69,16:20:00,"A pair of decorative lamps",110.00,"West Park Healthcare Centre Foundation donates a pair of beautiful decorative red and black table lamps.  Add sheek flare to any room with these unique lamps.","West Park Healthcare Foundation"
X071,549,69,16:20:00,"2 Power fo Attorney (for personal care & property)",160.00,"Who will make decisions for your health & manage your financial affairs if you became incapable through injury or sickness? The government will make these decisions, unless you prepare powers of attorney for personal care & property naming a trusted friend or family member!  ","Neil and Smith Barristers and Solicitors"
W039,550,69,16:20:00,"Hakim Optical Gift Card",250.00,"Hakim Optical donates - a $ 250 Gift Card for Optical Goods and Services - with over 130 outlets, a Hakim Optical store is conveniently located in every area of Metro Toronto - Enjoy the Gift of Good Vision","Hakim Optical"
S115,551,69,16:20:00,"Curves East York 3 mos. membership",200.00,"This certificate will entitle the woman holder to a three-month membership to Curves East York at 1359 Woodbine Avenue in Toronto. The membership is for the Curves East York facility only. The package also includes a Curves bag, water bottle and T-shirt. What a great way to start in on the New Year as you start by getting into better shape.","Curves East York"
W104,553,70,16:30:00,"Etched Granite Vase with Rose Pattern",95.00,"Andrew Latyshko - a Friend of Rotary donates - an Etched Granite Vase with Pink, Black and Sand Coloring - it has a Silver Rose Etched on Front and Back -a Beautiful Centre Piece for any Table","Smith Monument"
U009,554,70,16:30:00,"Dinner for Four at Duckworth's Fish & Chips",60.00,"Certificate for Dinner for 4 people.  Serving Scarborough since 1956.  Same Owners.  Voted Scarborough's best!","Duckworths Fish & chips"
X038,555,70,16:30:00,"Dopp Premium Leather Zipped Binder",100.00,"Dopp has been crafting products since 1919 and this leather zipped binder has all the features that the excutive in your life would need.  The binder has numerous pockets for business cards and is large enough to hold a small computer, it also comes complete with a writing pad.  The binder is beautifully finished in a high grade leather. ","Davis Group of Companies Corp"
Y018,556,70,16:30:00,"Child's Activity Mat",180.00,"This is Child's Play. Watch the little one have fun a be stimulated at the same time. This Moulin Roty Activity Mat is soft and mobile. Ideal for the family with a new born or expecting. ",Diaper-EEZ
W139,557,70,16:30:00,"Lube - Oil - Filter - Tire Balance Services",80.00,"Active Green & Ross Tire and Automotive Centre donates an $80 Gift Certificate for Lube / Oil / Filter / 4 Wheel Balance and Tire Rotation with 30 Point Courtesy Inspection Service - Valid at Any Green & Ross Tire and Automotive Centre Location","Active Green & Ross "
W083,558,70,16:30:00,"Saku Koivu Action Print",120.00,"Universal Picture Framing & Sports located at 3850 Steeles Ave. West donates -a Framed Print of Montreal Canadiens Captain - Number 11 "" Saku Koivu "" with an Action Picture of the Montreal Forum - This Picture would be Treasured by any Montreal Canadien Hockey Fan and could be Proudly Featured in the Family Room or Sports Den.","Universal Picture Framing and Sports"
S061,559,70,16:30:00,"6 Car Washes and $25.00 Gas Card",100.00,"Toronto Autowash has kindly donated another $25.00 gas card as well as 6 car wash passes. Toronto Autowash offers Softfoam gentle fibre wash, these certificates entitle you to ""The Works"" a full exterior wash including polish, wax, sealer, bottom blaster and rust inhibitor. Perfect to keep your car sparkling during the coming months! Toronto Auto Wash has 4 Locations to serve you, 105 Millwood Rd.,Leaside, 305 Rexdale Blvd.,Rexdale, 751 Kipling Ave., Etobicoke, and Toronto City Hall.","Sal Badali"
S079,561,71,16:40:00,"Teeth whitening system",400.00,"This take-home system requires two dental office appointments for 20 minutes each time, where impressions will be taken and trays will be fitted. Upon completion, one standard kit of whitening material will be given. The offer is valid through Dec. 31, 2012.","Dr. Robert DeMiglio & Dr. Joseph Fava"
W111,562,71,16:40:00,"Gents Dress Slacks & Belt",115.00,"Grand National Apparel located at 100 Marmore Street in Toronto donates - a Pair of Gents Savane Dress Slacks - 36"" waist x 32"" Leg - Premium Light BrownMachine Washable Wrinkle Resistant Wool Blend - with a 36"" Perry Ellis Brown Cow Hide Leather Belt - Slacks can be Exchanged for Another Size.","Grand National Apparel"
S160,563,71,16:40:00,"XMAS Wreath - Monika Emo Made",50.00,"This XMAS Wreath is especially prepared for a Huge front door.  The vines are gathered from our back valley and wrapped in a circle with care.  The items on the wreath are a pick from items that remind of all of XMAS.Snowman, Star, Angel, TRee Ornaments, Some Holly,  What are your favourite reminders of XMAS.","empowered Networks"
W076,564,71,16:40:00,"Dragon Universe & Need for Speed Toys",98.00,"Mega Brands have donated an assortment of toys from 2 of their collections the first for the age of 6+ from the Dragon Universe Series are Alliance Dragon, Shock Josanu, Bloodstone Raider and the 5 Dragon Battle Pack the next are from the Need for Speed Collectors series with for the age of 6+ there are an Audi R8, a Nissan GT-R and a Porsche 911 Turbo all for construction & racing. The final item is for age 8+ it is a Porsche 911 Turbo Wheel Launcher. What a great gift to keep a boy & to have lots of fun with.","Mega Brands"
W128,565,71,16:40:00,"M & M Gift Card & Emission Test ",90.00,"M & M Meat Shops combines with Kingsway Auto Service to donate - a $50 M & M Gift Card - and - an Auto Emission Test Gift Certificate from Sam Ingraldi's Petro Can Service Centre in the Kingsway - Find your Holiday Special Food Items at any Convenient M & M Meat Shop - and - Keep your Car in Compliance with an Emission Test When Required.","M & M Meat Shops"
X059,566,71,16:40:00,"Gift Certificate for The Blake House Pub & Restaurant",50.00,"The Blake House Restaurant and Pub on Jarvis Street provides great food and beverage offerings.  The restaurant, originally built in 1891, has been beautifully restored to create a great atmosphere for a special dining occasion.Check them out on their webpage ""theblakehouse.ca""","The Blake House"
Y002,567,71,16:40:00,"Eyewear gift certificate",50.00,"From Your Choice Optical in Bloor West Village, a $50 dollar gift certificate entitling the holder to redeem for prescription or non-prescription eyewear (sunglasses also permitted).  The certificate has no cash value.  One certificate per purchase per customer.Good for 12 months from the date of issue:  i.e. until October 12, 2012.","Your Choice Optical"
T018,569,72,16:50:00,"Glow & Flare Magazine Beautifying Gift Package",150.00,"Donna Howlett, National Account Manager, care of Glow Magazine at Rogers Publishing donates- A Glow and Flare Magazine Beautifying Gift Package which includes a One year subscription to Flare Magazine, ""Pretty"" Parfume by Elizabeth Arden and various make-up, hair and beauty products.","Glow Magazine"
S247,570,72,16:50:00,"Three Outfits for Children",70.00,"B & B Children's Clothing at Eglinton Square has donated three fancy outfits forchildren. One is a young boy's Tuxedo with shirt and vest in size extra largefor a 4 or 5 year old. A pretty green dress  and a yellow dress both in size small. All to dress up for a special occassion or a wedding.   ","B & B Children's Clothing "
S098,571,72,16:50:00,"Eddie Bauer Down & Fleece Throw",100.00,"After a day full of outdoor adventure, there's nothing like curling up with a cozy throw by the fireside. Ours is filled with Eddie Bauer premium down for exceptional warmth and comfort, with soft polyester on one side and luxurious, non-pilling fleece on the other.","James W. Leech"
U096,572,72,16:50:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
S023,573,72,16:50:00,"Large  Platform Cart",90.00,"Great cart for carrying lots of items on when moving or cleaning up areas.Made by Sheppard light grey paint with a blue matted platform with blue rubber around the sides, front and back.  No more bending, lugging just put on thiscart and you save yourself lots of aches and pains. ","Dickson Home Hardware"
X099,574,72,16:50:00,"Gift Certificate for the Keg Steakhouse & Bar",50.00,"Enjoy a night out at the famous Keg Steakhouse & Bar. This certificate would be a great stocking stuffer.","The Keg Steakhouse and Bar"
W061,575,72,16:50:00,"Teeth Whitening Gift Certificate",225.00,"Dr.Michael Shelegey has donated a $225. Gift Certificate for a Professional Teeth Whitening Procedure with Dr.Shelegey and his staff at 94 Cumberland St. Suite 411. Just call (416) 962-7555 and arrange an appointment. This certificate will appeal to someone who has thought of and considered having teeth whitening done by an experienced professional staff. Now would be a good time to get ready for the holiday season with a sparkling white smile.","Dr. Michael Shelegey"
S190,577,73,17:00:00,"Leaf Hog",120.00,"Dickson Home Hardware is donating this Black and Decker high performace blower called the leaf hog. Powerful up to 240 mph, anti clog vortex with a 2 year warranty. Pivoting action turbo nozzle loosens leaves and debris for fast cleanup. This blower converts from blower to vac in seconds. A must have.","Dickson Home Hardware"
U066,578,73,17:00:00,"Curves 6 Month Membership",350.00,"Scarborough - Central.  Certificate gives you a 6 month membership.  Must be redeemed by Jan 31, 2012.  ""For First Time Visitors Only"".","Curves for Women"
W143,579,73,17:00:00,"Medieval Times - Gift Certificate for Two",130.00,"Skywords in Markham donates - Medieval Times Complimentary Dinner and Tournament for Two - Enjoy the Your Visit to The Castle at Exhibition Place at 10 Dufferin Street - Courtesy of Skywords",Skywords
S031,580,73,17:00:00,"Large NFL Collectible Print",200.00,"This large NFL Collectible Print is of Bugs Bunny throwing the football in his CSH uniform, with the stands in the background. Fine art limited edition by MCKimson Productions Inc.  Brown frame and is 26 inches by 22 inches.Great collectible.","Al Schaafsma"
U031,581,73,17:00:00,"Holiday Gift Pack",120.00,"Package includes Felt bag with leaf design, 6 original card designs and 24 handmade cards with touching messages and trendy flocking accents, a pair of ladies black leather gloves (size 7 1/2), a box of elegant Christmas cards/envelopes, holiday set of 3 Christmas spreaders","Gibson & Associates"
U109,582,73,17:00:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
S212,583,73,17:00:00,"Certificate for Computer services",195.00,"2000's Technology (3T) Inc. has donated a certificate which entitles the holder to $195.00 labor services in-house or on their site. Repairing computers,notebooks, servers,printers.Debugging Windows,internet emails etc. Cleaning Viruses, spyware and malwares. Upgrading computers etc. and Installing and setup of routers, internet, emails for home or businesses. Good till Nov. 02, 2012. Get the help you need for your computer.","2001 TEchnology (3T) inc."
S228,584,73,17:00:00,"Gift Certificate for 1 will and 2 power of Attorneys",350.00,"Conveniently located in East York, have your most precious processions attended to professional by the law office of Duncan Boardman.","Duncan Boardman LLB"
V027,585,74,17:10:00,"Spa Certificate",225.00,"Still Water Spa- located inside The Park Hyatt Hotel in downtown Toronto - it is Toronto's premiere day spa.  Still Water has donated your choice of a 60 minute Swedish Massage or an Essential Facial, which also includes a Spa Lunch.  This certificate is valid Monday-Friday, by appointment ONLY.All applicable taxes and gratuities are included.  Spa certificate expires Dec. 30, 2012.  ","Still Water Spa"
W142,586,74,17:10:00,"Medieval Times - Gift Certificate for Two",130.00,"Skywords in Markham donates - Medieval Times Complimentary Dinner and Tournament for Two - Enjoy the Your Visit to The Castle at Exhibition Place at 10 Dufferin Street - Courtesy of Skywords",Skywords
X066,587,74,17:10:00,"4 Certificates for Piano, Voice or Guitar lessons",219.00,"The New Conservatory of Music is one of the largest and most modern music schools in the world.  They teach about 1500 students from beginners to adults every week to play piano, to sing or to play fifteen different instruments.Whether you want to play classical music, pop, rock 'n roll or jazz, the New Conservatory has a wonderful teacher for you. This certificate provides 4 half hour sessions with the teacher of your choice.","New conservatory of Music Ltd"
W057,588,74,17:10:00,"Jersey Worn by St.Michael's Majors #14 Corey Bureau",300.00,"Mississauga St.Michael's Majors Hockey Club has donated a Game Worn Hockey Sweater #14 Corey Bureau. This Jersey was worn by Corey Bureau during the regular season, the OHL playoffs and throughout the Memorial Cup including the Championship Game played at the Hershey Centre during May 2011 at Rose Cherry Place in Mississauga.","Mississauga St.Michael's Majors Hockey Club"
Y058,589,74,17:10:00,"Happy Holiday Barbie",250.00,"This Collector's Doll was the 11th and last in Barbie's Happy Holiday Collection. It's a Collector's item because the photo on the back of the box shows Barbie in a differnet cape, than what's she's wearing.","Parkdale - High Park"
T034,590,74,17:10:00,"Assortment of Royale Paper Products",200.00,"Irving Consumer Products generously donates- An Assortment of Royale Paper Products.  This wonderful item includes Facial Tissue, Bathroom Tissue, paper towels and napkins.  7 cases in total.","Irving Consumer Products"
X081,591,74,17:10:00,"Wii SPORTS (GAME INCLUDED)",220.00,"Play Tennis, Baseball, Golf, Bowling & Boxing in the comfort of one's living room.  The WII remote controller to mimic the actions of swinging a racket, bat or club, rolls ball down an alley, or bring the left job.  People of all skill levels can pick up and play any of the games making this FUN for everyone.","Sherwood TV Sales & Services "
S129,593,75,17:20:00,"Golf Certificate for Sleepy Hollow",350.00,"This private Club has given us a Certificate for four people to play golf and use carts.  All guests have to be properly attired in traditional golf clothing.  Tee time reservation may be requested up to three days in advance on most Mondays or Thursdays based on availability.  The certificate is also valid most weekend afternoons after 3 p.m. Here is your chance to play this private course.","Sleep Hollow Country club"
S227,594,75,17:20:00,"Gift Certificate for 1 will and 2 power of Attorneys",350.00,"Conveniently located in East York, have your most precious processions attended to professional by the law office of Duncan Boardman.","Duncan Boardman LLB"
S013,595,75,17:20:00,"Certificate for Dinner with Theatre Tickets",338.00,"We have  a certificate for a fabulous dinner at Joe Badali's Ristorante with two tickets to see Mary Poppins the broadway musical with seats in the Orchestra section. These tickets are for Saturday December 17th, 2011.  What a way to start the holiday season off, or give an early Christmas present. All from donor John Watts. ","Joe Badali's"
S242,596,75,17:20:00,"""Minesing Swamp"" - painting",230.00,"Acrylic on canvas, 14"" x 18""  A painting by local artist Dianne Shelton.  She has had numerous exhibitions and says that her need to paint is compelling and that ""art is the synthesis of my personal feelings"".  ","Dianne Shelton"
S134,597,75,17:20:00,"Gift Basket of ASK cosmetics",225.00,"ASK Cosmetics is a Canadian company established in 1994. They are the number one selling nail care products on the Shopping Channel in Canada.We have nail polishes(Seven popular nail polish colours), Skin Conditioning Milk, Daily-use Shampoo, Revival Styling Creme. Their nail conditioner is all natural, lipid rich solution that penetrates the nail to deliver nutrients directly to the nail structure. Great basket with great products.","ASK Cosmetics"
S120,598,75,17:20:00,"Men's Bulova 21 Jewel Automatic Skeleton Watch",355.00,"This watch has 21 Jewel mechanical self-winding (automatic) movement, so no batteries to worry about. The skeleton style watch design has a cut-away dial to see the top of the watch movement; an exhibition back to see the self-winding mechanism and hardened mineral glass crystal on the watch back. It has luminous hands and hour markers and is water resistant to 30 metres. It has a two-year Bulova warranty.","James McTamney & Co In."
S012,599,75,17:20:00,"Crown 20 Propane Barbecue",350.00,"We have a Crown 20 propane barbecue with a rigid steel cabinet with stainless steel doors.  40,000 BTU main burner output, 635 sq.in. cooking space, 400 sq. in. primary cooking space, therma-cast aluminum oven with stainless steel wrap, rust proof resin base, large 7 in. crack-proof wheels and much more.","Dickson Home Hardware"
W131,601,76,17:30:00,"Two Nights Deluxe Suite Stay",398.00,"The Baymont Inn & Suites located at 5234 Ferry Street in Niagara Falls, Ontario donates a Gift Certificate for a Two Nights Stay in a Jacuzzi Suite with Fireplace - Includes Deluxe Continental Breakfast & Free Parking - Valid any Two Nights Except New Years Eve and any Long Weekend - Here's a Great Surprise Xmas Gift to Enjoy a Romantic Get-away for a Special Birthday or Anniversary - Courtesy of Baymont Inn & Suites in Niagara Falls.","Baymont Inn & Suites"
S147,602,76,17:30:00,"Hair Salon Gift Certificate",140.00,"A $140. gift certificate for hair style, cut and colour with Yorkville hairstylist Russell Johnson of Salon Piaff.","Russell Johnston"
S083,603,76,17:30:00,"Shaw Festival tickets",150.00,"This certificate entitles you to two complimentary tickets to one Shaw Festival performance of either Present Laughter, A Man and Some Women, or Misalliance during May, June, or July of the 2012 season.","Shaw Festival Theatre"
V009,604,76,17:30:00,"Toy Bag",200.00,"This packages includes a variety of toys for girls and boys (ranging from ages 2-9).  There are 8 toys in all - including:  GloDoodle, 2xFlick Trix, 2x Mighty Beanz, Bakugan (Season 2) -Battle Brawlers, AquaSand, and a LIV Alexis and Lacey Doll.","Spin Master"
W119,605,76,17:30:00,"Ladies Jacket & Vest",140.00,"Bill Duck's Curling Shop located at St. Georges Golf & Country Club donates - a Ladies "" Gold Line "" White Jacket with Orange Trim - Size Small - with Full Zipper Front and St. Georges Logo - and a Companion Black Sleeveless Vest - Size Small - with Full Zipper Front with St. Georges Logo. ","Bill Duck Curling Shop"
X010,606,76,17:30:00,"TV Stand",249.00,"This TV stand has a maple finish and is designed for the narrow flat screen TV sets.  There are two adjustable shelves for other components.  The measurements are 40 inches wide, by 16 inches deep and 22 inches high.","Scandia House Furniture"
V015,607,76,17:30:00,"Beauty Basket",350.00,"A ladies beauty basket filled with 'Live Clean' beauty products.  Includes:  body lotion, hand soap, restorative conditioning mask, shampoo, hair gel and hair spray...much more...  Also includes Baby Live Clean products like baby lotion, baby bar soap, and diaper ointment.","Humber River Regional Hospital Foundation"
V016,609,77,17:40:00,"Black Ladies dress, size 12",250.00,"A ladies formal dress with crisscross straps.  This three quarter length dress is great for any special occasion.  Designer name is Franco MirabelliColour:  BlackSize:  12Material: 71% viscose, 29% polyester","Humber River Regional Hospital Foundation"
U015,610,77,17:40:00,"""Share a Story"" Book Package",160.00,"Fun collection for reading to the children.  Titles include ""The Great Big Book of Bedtime Stories and Rhyme"", ""Read to Me Grandpa"", ""Pooh's Bedtime Book"", ""My Very First Mother Goose"", ""I Love You"" (a keepsake storybook collection), ""Fairy Tale Jigsaw Book"" with seven 48 piece jigsaw, ""Chicken Soup for Little Souls - The Never Forgotten Doll"", and ""The Classic Tale of Jungle Book""."," "
X013,611,77,17:40:00,"TV Stand",249.00,"This TV stand has a maple finish and is designed for the narrow flat screen TV sets.  There are two adjustable shelves for other components.  The measurements are 40 inches wide, by 16 inches deep and 22 inches high.","Scandia House Furniture"
X049,612,77,17:40:00,"7-Day Programmable Honeywell Thermostat ",250.00,"Vision Pro 8000 is a Honeywell touchscreen thermostat that has universal system compatibility.  Its easy to follow menu makes programming a snap and there is a large display with backlight.  It features Change/Check reminders; Precise comfort control; Real time clock and will control conventional and heat pump equipment.Honeywell provides this thermostat with a 5 year warranty.","Honeywell Canada Ltd"
W038,613,77,17:40:00,"Hakim Optical Gift Card",250.00,"Hakim Optical donates - a $ 250 Gift Card for Optical Goods and Services - with over 130 outlets, a Hakim Optical store is conveniently located in every area of Metro Toronto - Enjoy the Gift of Good Vision","Hakim Optical"
S235,614,77,17:40:00,"Certificate for Golf",440.00,"Donway Ford has donated a certificate for a foursome for golf with a cart in the 2012 season at The Royal Woodbine Golf Club. Here is a chance to play a course you have never played. Have your three friends or family join you. To book a tee time just call the Royal Woodbine Golf Club.","Donway Ford"
W116,615,77,17:40:00,"4 Private Dance Lessons",399.00,"The Arthur Murray Dance Studio located at 3054 Bloor Street West donates - a $399 Gift Certificate for 4 Private Dance lessons which also includes 1 Group Class and 1 Dance Party - Let Arthur Murray Introduce you to the Exciting World of Ballroom and Latin Dancing.","Arthur Murray Dance Studio"
U065,617,78,17:50:00,"Gift Certificate to Fine Dining",250.00,"Certificate for four people to come and dine in our dining room. Food Mission - fed 260 pp.  Took part in Rouge Valley Bed race.  Environmentally Friendly.  We hire handicapped workers to help them find work.","Scarboro Golf & Country Club"
Y007,618,78,17:50:00,"Family Portrait Certificate",495.00,"""It's all about Family""! Studio Anka in Bloor West Village has donated a Studio II Family Portait sitting which includes a pre-sitting consultation, a 1-1.5 hour portait session, 30-50 images to choose your portrait from, and one 8x10 Art Print. There is a reserve bid of $250.00 on this portrait session valued at $495.00. Anka Czudec is a Member of the Professional Photographers of Canada. Framing is not included, there is No cash surrender Value, and this Certificate may not be combined with other offers. (Please show the brochure on TV that accompanies the certificate).","Studio Anka"
V010,619,78,17:50:00,"Toy Box",200.00,"This toy boxes== inclues a mini back pack and a variety of toys for both boys and girls (ranging from ages 2-9). There are a total of 6 toys including:  GloDoodle, 2xBakugan (Season 2) Battle Brawlers, 2xMighty Beanz, and 1 AquaSand.","Spin Master"
W096,620,78,17:50:00,"Bakery Gift Card & Dinner for two",90.00,"LaRose Bakery & Delicatessan located at 140 LaRose Ave. Combines with The Weston Golf & Country Club to donate - a $50 Bakery Gift Card and a Dinner for Two at Weston - get your Holiday Bakery Needs then Enjoy Dinner at the Weston Golf & Country Club. ","LaRose Bakery & Delicatessan"
U011,621,78,17:50:00,"3 Month Fitness Membership",357.00,"World class training facilities / cardio training theatre with strength and conditioning floor / running / track / premium locker rooms with amenities / spa / olympic style swimming pool / fitness consultation program / personal training / tennis courts and programming / Gary Roberts High Performance Centre / Clinic for sports medicine","The Fitness Institute"
X015,622,78,17:50:00,"TV Stand",249.00,"This TV stand has a maple finish and is designed for the narrow flat screen TV sets.  There are two adjustable shelves for other components.  The measurements are 40 inches wide, by 16 inches deep and 22 inches high.","Scandia House Furniture"
U035,623,78,17:50:00,"Group of Seven Print",299.00,"""The Canoe"" by Tom Thomson - unframed Group of Seven print with Certificate of Authenticity included.","Gibson & Associates"
