"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
W093,258,32,10:10:00,"3 OLYMPIC GOLD MEDAL HOCKEY PLAYERS ",65.00,"UNIVERSAL PICTURE FRAMING AND SPORTS LOCATED AT 3850 STEELES AVE. WEST DONATES -A PICTURE OF 3 MEMBERS OF CANADA'S OLYMPIC GOLD MEDAL HOCKEY TEAM - BRENT SEABROOK / JONATHAN TOEWS / DUNCAN KEITH - FRAME MEASURES 16"" X 20"" - A COLLECTABLE MEMORABILIA TREASURE OF THE 2010 OLYMPIC GAMES - A UNIQUE XMAS ITEM FOR A YOUNG HOCKEY FAN - COURTESY OF UNIVERSAL PICTURE FRAMING AND SPORTS ","Universal Picture Framing and Sports"
W091,259,32,10:10:00,"AUTO EMISSION TEST GIFT CERTIFICATE",40.00,"THE SAM INGRALDI SERVICE CENTRE LOCATED AT 2888 BLOOR STREET WEST IN THE KINGSWAY DONATES - A $40 GIFT CERTIFICATE FOR AN AUTO EMISSION TEST - KEEPYOUR CAR IN COMPLIANCE WITH ONTARIO'S MANDITORY DRIVE CLEAN PROGRAM - COURTESY OF SAM INGRALDI SERVICE CENTRE IN THE KINGSWAY.","Sam Ingraldi Service Centre"
U108,260,32,10:10:00,"$25 Gift Certificate from Phoenix Pan Asian Cuisine",25.00,"Want some real variety when you dine out on Asian Cuisine. Chef William will offer you choices ranging from Thai to Cantonee to Szechuan to Hakka. Like it hot or not, William will adjust to suit your taste. Whether it's seafood, chicken, beef or pork dishes you crave, you'll find new ways to enjoy them at Phoeniz. Dine in or take out, the choice is yours and all for really great prices. The $25 voucher to share with family or friends. 3730 Kingston Road at Scarborough Golf Club Road (good for one year)","Brian Philcox"
W111,261,33,10:20:00,"$50 FORTINO'S SUPERMARKET GIFT CARD",50.00,"FORTINO'S SUPERMARKET LOCATED AT 330 QUEEN'S PLATE DRIVE DONATES A $50 GIFT CARD VALID FOR PRESIDENTS CHOICE FOOD PRODUCTS AND PRODUCE AT FORTINO'S - FIND ALL YOUR HOLIDAY SEASONAL PRODUCTS AT FORTINO'S SUPERMARKET AT 330 QUEENS PLATE DRIVE","Fortino's Supermarket"
X116,262,33,10:20:00,"RONA Hardware Gift Card ",50.00,"This gift card can be used just like cash at any RONA store in Canada. Now you can get that project started, finish the one you have already started, or give it as a great gift to someone you would like to get it started!","Kevin Manuel Architect Ltd."
W102,263,33,10:20:00,"ONE HOUR REIKI THERAPY TREATMENT",80.00,"THE HEALING SPACE LOCATED AT 762 QUEEN STREET WEST DONATES - A ONE HOUR REIKI THERAPY TREATMENT - ENJOY BETTER HEALTH AND WELLNESS WITH THIS UNIQUE THERAPY REIKI TREATMENT - COURTESY OF THE HEALING SPACE","The Healing Space"
U061,264,33,10:20:00,"RAINFALL COLLECTION 9'' VASE - MARQUIS",69.00,"WATERFORD CRYSTAL Vase which is 9 inches tall with a marquis design.This crystal would look great in any home, or give as a gift for theholidays.","Friends of Rotary"
S077,265,33,10:20:00,"Electric Blower and Screwdriver Set",75.00,"Toro power sweep electric blower has 2 speed air control, lightweight, less than 5 lbs, and easy to use.  Has a two year warranty donated by Thornhill Lawn Equipment company. We also have Mastercraft 40 piece screwdriver set. which have chrome-vanadium steel blades and double-injected handles.  Both of these items everyone who has a home needs.  Two gifts for Christmas. ","Thornhill Lawn Equipment"
W088,266,33,10:20:00,"2 DOZEN WILSON GOLF BALLS",70.00,"SYD WILSON - A MEMBER OF TORONTO HUMBER ROTARY CLUB DONATES - 2 ONE DOZEN BOXES OF WILSON TITANIUM STRAIGHT DISTANCE GOLF BALLS - MORE THAN A YEAR'S SUPPLY IF YOU HIT THEM STRAIGHT - ENJOY YOUR GOLF GAME - COURTESY OF ROTARIAN SYD WILSON","Sydney Wilson"
S280,267,33,10:20:00,"Men's  Outdoor Shirt, T Shirt & Steel Toe Rubber Boots",60.00,"The Outdoor men's outdoor shirt is black, is extra large and lightweight plush with a zipper at the neck. We have a dark grey T shirt short sleeve in a large, with a pair of size nine light grey rubber boots by Baffin CSA approved with grade one steel toe. Waterproof. Everything needed to do a job outside.","Shirley Samis"
U097,268,33,10:20:00,"Ladies dress Purse",100.00,"Black ladies dress purse for the evening.  Look good while carrying thispurse for a special evening out on the town.","DEBORAH CLOAKEY"
X016,269,34,10:30:00,"One Concert Ukulele by Oscar Schmidt",120.00,"This is a very special Concert quality Ukulele by Oscar Schmidt together with a gig bag. The sound box is made from beautiful mahogany.A Lifetime Warranty comes with the instrument.","Remenyi House of Music"
X083,270,34,10:30:00,"Certificate for Oil Change, Lube & Filter",50.00,"With this certificate you will be entitled to an oil change, lube, & filter as well as a 15 point inspection.  This is redeemable at Eastside Chev/Buick in Markham (Hwy 7 & Woodbine) or at Old Mill Pontiac (Jane & ST. Clair).","Eastside Chevolet Buick GMC"
U060,271,34,10:30:00,"RAINFALL COLLECTION 9'' VASE - MARQUIS",69.00,"WATERFORD CRYSTAL. EXCELLENT FOR DECORATION. GREAT GIFT IDEA!","Friends of Rotary"
W096,272,34,10:30:00,"Kross Bazooka Gold FM Radio/USB/SD/MMC Player",75.00,"Supertech Computers of 235 Dixon Road donates this stylish Kross Bazooka Gold FM Radio and USB/SD/MMC media player complete with remote control. This unit has a 40watt output and is ideal for use in the living room, den or office.","Supertech Computers"
S144,273,34,10:30:00,"Three Moonrays",70.00,"Light up your garden with these  low voltage landscape lighting.  Includes 3-11 watt bulbs , a 60 watt lighting control unit with photocell control and 50 feet low voltage cable. You get greater illumination for a dramatic effect. They are 16 1/2 inches high with a cone shape top. Make your garden or pathway beautiful","Dickson Home Hardware"
W035,274,34,10:30:00,"3 AUTOGRAPHED GARDENING BOOKS",64.00,"MARK CULLEN , CANADA'S BEST KNOWN GARDENING PERSONALITY AND AUTHOR DONATES - THREE AUTOGRAPHED GARDENING BOOKS - TITLES ARE "" A SANDBOX OF A DIFFERENT KIND ""- "" MARK CULLEN'S ONTARIO GARDENING "" - AND "" CANADIAN LAWN AND GARDEN SECRETS "" = ALL PROVIDE EXPERT HINTS , TIPS , AND ADVICE TO GET THE MOST FROM YOUR GARDEN - THESE PERSONALLY SIGNED BOOKS WOULD BE TREASURED ADDITIONS TO ANYENTHUSIASTIC GARDENER'S LIBRARY - ALL COURTESY OF MARK CULLEN","Mark's Choice Ltd."
X075,275,34,10:30:00,"Collector's Plate ""Little Tutor""",75.00,"This is a limited edition 8 1/2 inch collector plate banded in 24 carat gold.  it is in a gift box with a certificate of authenticity .  ""Little Tutor"" is part of the Days Gone Bye collection painted by artist Sandra Kuck.","Susan Palmer"
U120,276,34,10:30:00,"Trees Have Needs",500.00,"Brent Ferris - Acclaimed Foresty Expert will come to your residence to assess tree damage, advise on tree, stump or shrub removal and generally make your property look fresh and lively again. Brent and his team take on those dangerous limbs that look likely to do damage in the next major storm - no matter how big or precarious they seem. He will give you a fair estimate of the work that needs to be done and make a mutually agreeable schedule for the work. This special package is worth $500 against your next tree service project and is good for the locations in the GTA and must be completed within one year.","Trees Have Needs"
S182,277,35,10:40:00,"Gift Certificate for Personal Training",85.00,,"Xplosion Fitness"
X119,278,35,10:40:00,"Home Depot Gift Card",50.00,"This gift card can be used at any Home Depot store in Canada to pay for any purchase from the store.  Now you can get that project started, finish the one you already have started, or give it as a great gift to someone to get it started!","Kevin Manuel Architect Ltd."
U050,279,35,10:40:00,"GIFT CERTIFICATES   2 X  $25.00 = $50.00",50.00,"""EXPERIENCE THE VERY FIRST PIZZA NOVA. THE RESTAURANT THAT STARTED IT ALL WHEN WE OPENED OUR DOORS AND BEGAN SERVING TRADITIONAL ITALIAN PIZZA'S BACK IN 1963. TASTE THE DIFFERENCE AND SEE OUR NEW LOOK AS WE CONTINUE OUR TRADITION OF SERVING SIMPLY THE FINEST QUALITY ITALIAN DISHES.  FOR RESERVERATIONS CALL: 416-751-1200"". Coupons # 94 & 95  Expires on Jan 31st.,2013.","PIZZA NOVA RISTORANTE"
W104,280,35,10:40:00,"HERSHEY GIANT CHOCOLATE BAR",55.00,"ATTENTION ALL CHOCAHOLICS - HERSHEY CANADA LTD. DONATES A FIVE POUND GIANT CHOCOLATE BAR - HERSHEY'S FAMOUS MILK CHOCOLATE WILL SATISFY YOUR CRAVING FORTHIS DELICIOUS TREAT - SWEET DREAMS - COURTESY OF HERSHEY CANADA","Hershey Canada Inc."
S105,281,35,10:40:00,"Newborn Diapers,Outfit , Blanket etc.",75.00,"Massey Centre has donated this beautiful handknitted blanket with a tiny knitted hat as well to cuddle your newborn baby. Included is this 108 pack of Huggies diapers for newborn up to 14 pounds. We also have handknitted small teddy bear and a white sleeper with pale yellow and pale brown stripes. Would also be a great gift for a shower or gift for the newborn","Massey Centre"
X070,282,35,10:40:00,"Pixel Chix",30.00,"Pixel Chix - Hand Held Game for ages 6+","Christina Mueller"
S114,283,35,10:40:00,"2008-2009 Coin Set and signed Bobby Baun ",80.00,"At the Heart of the Action is Bobby Baun #21 who has signed this 2008-2009 Toronto Maple Leafs coin set., from the Royal Canadian Mint.One dollar coin has the Maple Leaf shirt in the middle of the coin, and the other coins are theregular set of a Twoonie, 50, 10, 5 and one cents  Great collector's item. Also included is a hockey book about the Maple Leafs signed by author David Shoalts.","Geneva Centre for Autism"
U132,284,35,10:40:00,"$29 Voucher for CAA Care Care Centre",29.00,"Next time you need an oil change you won't find a better place to have it done than the CAA Car Care Cntre at Kingston Road and Morningside in Scarborough. The Car Car Team under the able directon on Moenes Salib will treat you car with the fine service it deserves. The CAA Oil Change Plus package includes Tire Rotation, Oil Filter and change. Visual check of the brakes, tires, battery, fluids, air filter, lights, hoses, belts and more. You can depend on the Canadian Automobile Association to provide you with truly professional service for your vehicle. This offer good for one year and may be redeemed at any CAA Car Care Centre in Ontario","CAA Care Care Centre"
W008,285,36,10:50:00,"FOUR SELF-DEVELOPMENT BOOKS",79.00,"MCGRAW HILL RYERSON DONATES - FOUR SELF-DEVELOPMENT BOOKS - TITLES ARE "" WINNING BODY LANGUAGE "" - "" AWAKEN YOUR STRONGEST SELF "" - YOUR MILLION DOLLAR DREAM "" - AND "" ONE SIMPLE IDEA "" - THESE FOUR BOOKS WOULD PROVIDE GREAT INSTRUCTIONAL GUIDANCE AND PROMOTIONAL STRATEGIES FOR ANY GRADUATING STUDENT OR YOUNG PERSON ENTERING THE BUSINESS WORLD - COURTESY OF MCGRAW HILL RYERSON LTD.","McGraw Hill Ryerson Ltd."
W084,286,36,10:50:00,"WHITE DIAMOND PERFUME SET",80.00,"INVIS INC. LOCATED AT 5317 FORESTWALK CIRCLE IN MISSISSAUGA DONATES - ONE SET OF ELIZABETH TAYLOR'S WHITE DIAMOND EAU DE TOILETTE SPRAY AND A TUBE OF WHITE DIAMOND PERFUMED BODY LOTION - A GREAT XMAS GIFT FOR THAT SPECIAL LADY IN YOUR LIFE - COURTESY OF INVIS INC.","INVIS INC."
W013,287,36,10:50:00,"LADIES SLEEPWEAR NIGHTSHIRT",70.00,"SIMPLY CHIC LADIES WEAR LOCATED AT 2912 BLOOR STREET WEST DONATES - A LADIES SLEEPWEAR NIGHTSHIRT - SIZE LARGE - SKY BLUE COLOR WITH MOON AND OWL DECORATIVE FIGURES - VERY COMFORTABLE KNEE LENGTH STYLE - COURTESY OF SIMPLY CHIC LADIES WEAR ON THE KINGSWAY","Simply Chic"
X035,288,36,10:50:00,"Bordeaux Wine: Chateau Latour-Martillac 2006",50.00,"This classic Bordeaux wine such as Latour-Martillac is full of intense black current aromas and is less concentrated than usual but more balanced: the alchemical formula of great and enjoyable wines!  The vintage comes from France subregion Graves and appellation Pessac-Leognan.Best drunk between 2013 and 2027","Gary  Witten"
X007,289,36,10:50:00,"Fine Dining Certificate",50.00,"Enjoy fine dining in the relaxed atmosphere of our Italian bistro.  Although Italian dishes are our specialty, we offer a rich and varied menu ... Pasta, Steak, and Seafood.Treat your staff to an elegant dining experience at reasonable prices by booking your office Christmas party with us.  Our premises are fully licenced with the L.L.B.O.Remezzo has been a neighbourhood favourite for over 20 years.!","Remezzo Itialian Bistro"
X118,290,36,10:50:00,"Home Depot Gift Card",50.00,"This gift card can be used at any Home Depot store in Canada to pay for any purchase from the store.  Now you can get that project started, finish the one you already have started, or give it as a great gift to someone to get it started!","Kevin Manuel Architect Ltd."
S025,291,36,10:50:00,"Four tickets for Golf",80.00,"Winner of the bid will get four tickets for nine holes for anytime in the 2013 season at a great golf course Spring Creek.  It is on Concession 9 and Westney RD., Claremont, Ontario.  Pretty course were you can take three friends or goaround twice so you play eighteen with a friend. Have fun and enjoy your day.","Spring Creek Golf Crse"
U099,292,36,10:50:00,"Nokia C3 Telephone",275.00,"Nokia C3 fully Loaded 2012 wireless telephone. Great gift for this time of the year!","DEBORAH CLOAKEY"
X078,293,37,11:00:00,"Royal Doulton Figurine ""Special Celebration""",85.00,"This lovely lady dressed in a long black evening dress is by Royal Doulton. She is 6 inches high and comes with a gift box.","Hardy Stevenson + Assoc.Ltd."
S141,294,37,11:00:00,"Certificate for Car Washes & 25.00 Gas Card",150.00,"Donated by Sal Badali and son John their Toronto Autowash have the best car washes in Toronto.You get nine car washes and a $25.00 gas card. The car wash includes bottom blaster, then power wash with soft sponge brushes with foamy soap, then rinsed and it treats the car finish with two coats of wax. Touchless dryers and you have a sparkling clean car. Four locations to serve you Toronto City Hall, 1070 Millwood Rd., 305 Rexdale Blvd and 751 Kipling Ave. Drive a clean car for this winter.","Sal Badali"
U019,295,37,11:00:00,"1930'S POLKA ROSE VASE",80.00,"ROYAL ALBERT FINE CHINA . LIGHT GREEN POLKA DOT GREEN VASE made by a finechina company. Great gift or would look lovely in your home.","Deborah   Cloakey"
W116,296,37,11:00:00,"2 GIRLS TOYS & 3 BOYS TOYS",70.00,"MEGA BRANDS INC. IN MISSISSAUGA DONATES - FOR A GIRL AGE 1+ - AN 18 PIECE SET OF JUNGLE FRIENDS MEGA BLOKS IN A ZIPPERED BAG / FOR A GIRL AGE 3 TO 6 - A 100 PIECE SET OF BUILD AND PLAY MEGA BLOKS / AND FOR A BOY AGE 8+ - A DISNEY PIXAR CAR 3 D BREAKTHROUGH PUZZLE / AND / TWO HALO TOYS / THE BRUTE CHIEFTAIN AND THE ODST AMBUSH ASSEMBLY SETS - THESE ARE GREAT XMAS GIFT ITEMS FOR PARENTS OR GRAND PARENTS - ALL COURTESY OF MEGA BRANDS INC.","Mega Brands"
X060,297,37,11:00:00,"Gas Gift Card",50.00,"Petro Canada Gift Cardthis gift card can be used at any participating Petro Canada ","Diya Dhawan"
U049,298,37,11:00:00,"GIFT CERTIFICATES   2 X  $25.00 = $50.00",50.00,"""EXPERIENCE THE VERY FIRST PIZZA NOVA. THE RESTAURANT THAT STARTED IT ALL WHEN WE OPENED OUR DOORS AND BEGAN SERVING TRADITIONAL ITALIAN PIZZA'S BACK IN 1963. TASTE THE DIFFERENCE AND SEE OUR NEW LOOK AS WE CONTINUE OUR TRADITION OF SERVING SIMPLY THE FINEST QUALITY ITALIAN DISHES.  FOR RESERVERATIONS CALL: 416-751-1200"" Coupons # 96 & 97 expire on Jan 31st.,2013.","PIZZA NOVA RISTORANTE"
U079,299,37,11:00:00,"MEDIEVAL TIMES - 2 TICKETS - DEC 15TH., 2012 ",140.38,"TICKETS FOR DEC. 15TH., 2012.            TIME: 7:30P.M.   TICKET #S 309172-6220664  AND  309172-6220665.PLEASE COME 90 MINUTES PRIOR TO STATED TIME ON TICKETS.  FIRST COME FIRST SERVE.  - NO RESERVED SEATS - MAY ADD EXTRA FUNDING TO ORIGINAL COST TO UPGRADE.","MEDIEVAL TIMES"
W155,300,37,11:00:00,"UNDER HOOD AUTO WORK LIGHT",144.00,"TECHSPAN INDUSTRIES INC. LOCATED AT 3131 PEPPER MILL COURT IN MISSISSAUGA DONATES - AN UNDER HOOD AUTO WORK LIGHT - BAYCO MODEL WITH 150 L. E. D. LIGHTS - MAGNETIC OR HANGER HOOK MOUNTING - ADJUSTABLE CARRIER EXTENDS TO 77 INCHES - COMPLETE WITH A C AND D C CHARGERS - A GREAT GIFT FOR A HOME HANDYMAN OR AUTO ENGINE TINKERER","Techspan Industries"
W121,301,38,11:10:00,"$80 LUBE / OIL / FILTER SERVICE PACKAGE",80.00,"ACTIVE GREEN & ROSS AUTOMOTIVE CENTRES DONATES - AN $80 GIFT CERTIFICATE FOR A COMPLETE LUBE, OIL, FILTER SERVICE PACKAGE - INCLUDES TIRE ROTATION & BALANCE - 30 POINT COURTESY CHECK & FREE BATTERY INSPECTION - HAVE YOUR CAR PROPERLY SERVICED TO ENSURE SAFE AND CARE FREE DRIVING DURING THE WINTER SEASON - VALID AT ANY SERVICE LOCATION OF ACTIVE GREEN & ROSS AUTOMOTIVE CENTRES ","Active Green & Ross "
S165,302,38,11:10:00,"I Comfort Eye and TempleM massager",75.00,"Good things really do come in small packages. Fabulously fun and pleasantly powerful the eye and temple massager uses air bags to help relieve eye fatigue, migraines and associated headaches.  For extra relief, we've added heat for a full relaxing experience. 3 types of air pressure massage and 2 types of heat massage.  Ideal for those who simply wish to be pampered in the comfort of their home.","Dickson Home Hardware"
S008,303,38,11:10:00,"Salton Slow 5 Qt Cooker. & Citrus Juicer",100.00,"We have a beautiful looking multipot Digital 5qt stainless steel slow cooker , with a contemporary design for today's lifestyles.  Digital LED display, the removable stoneware casserole doubles as a serving dish, Stainless steel die cast handles.  This Betty Crocker Citrus Juicer with removable 1.2litre Pitcher with Juice level Indicator, 2 Reamers and pressure activated 30 watt motor plus storage cover.  Two great items.","Don French"
Y003,304,38,11:10:00,"Dry Cleaning Gift Certificate ($50)",50.00,"A Gift certificate for $50 towards dry cleaning at Westown Custom Cleaners.235 Dixon Road in Etobicoke  Keep your suits or jackets looking great for work or play.","Westown Custom Cleaners"
X109,305,38,11:10:00,"Gift Certificate for The Keg Steakhouse & Bar",50.00,"The KEG Steakhouse & Bar invites you to experience the steakhouse with a difference where Quality, Comfort, & Value are the key ingredients.This certificate can be used at any of the many KEG Restaurant locations.","The Keg Steakhouse and Bar"
S186,306,38,11:10:00,"EXTREME FUN  - Indoor Playground",80.00,"Extreme Fun Indoor Playground  --- Indoor Play area..... Toronto's coolest, fun-filled entertainment centre, located at 186 Bartley Drive --- Eglinton and O'Connor Area. This is A 10-visit play pass for Children of all ages.  Enjoy a variety of activities and toys that promote fitness and fun.   Jumping castles, giant play structures, costumes, air hockey, basketball, foosball and tons of toys for the kids to enjoy. Parents can enjoy a fresh cup of coffee in the cozy cafe, plan exciting partieswith a variety of birthday packages or drop in and play with their children in a clean and safe environment. This pass will provide you with 10 free visits to Extreme Fun Indoor Playground.","Extreme Fun Indoor Playground"
S176,307,38,11:10:00,"Leather Day Binder & Hat Box Gift Set",75.00,"This beautiful red genuine leather zippered day runner is excellent for your daily routine. Holds business cards, credit cards, zippered pocket for changeas well as your  calendar to hold your daily appointments. Place for your contacts name and address and phone numbers. This 10 inch hat box gift set includes a 4 x6 photo frame, photo album, envelopes and writing paper. Two gifts for Christmas presents.","Friends of Rotary"
U096,308,38,11:10:00,"Gift Certificate - $100.00",100.00,"Memories of Japan is one of the largest Japanese restaurants in Ontario ( over 300 seats). You will certainly enjoy their Teppanyaki Cooking Tables, Sushi and Japanese Cuisine.They are opened 7 days a week for complete Lunches and Dinners.","Memories of Japan"
X059,309,39,11:20:00,"Sound Logic Portable Media Player",60.00,"Now you can play your music from any USB flash drive, SD card or MMC card.Turn nearly any setting into a party with the Sound Logic Portable Media Speaker!                        3.5mm input for compatibility with any iPod/MP3 player. Plug and play MP3s directly from any USB flash drive, Supports MP3 playback from SD/MMC media cards.Power output: RMS 6W, Frequency response: 150-20KHz, Sensitivity: 80dB.Speaker is powered by BL-5C rechargeable Li-ion battery included. Also included: USB charging cable, 3.5mm cable and remote control. ","Sherwood TV Sales & Services "
S103,310,39,11:20:00,Carpet,50.00,"Dickson Home Hardware has donated this lovely beige carpet. It is six feet by 9 feet. Has a nice short soft fibre which is stain resistant and has bound edges on all sides. Excellent durability and can be shampooed if ever needed byany recommended carpet cleaner.","Dickson Home Hardware"
S015,311,39,11:20:00,"Black & Decker Deluxe screwdriver & drill Set",60.00,"Wow this is a great set which has 235 pieces in a great carrying case. Folds into a heavy-duty case for convenient storage and easy carrying. Has a variety of bit tips for fastening applications, spade bits for drilling large diameters in wood,nut drivings for fastening applications. Hole saw for drilling large diameter holes and masonry drilling. Lots and lots of hardware. Great for the handyman who needs all these items.","Fred Pierce"
X180,312,39,11:20:00,"Gift Package",65.00,"For the Justin Bieber fan  - 223 pages of 100% Justin Bieber ""Just Getting Started"" He chronicles his amazing  rise to fame.And ""Essenza Vannille Collection"" to brighten up your bathroom.  The package contains luxury hand soap & lotion, aroma oil burner set and tea lights.","Frank & Bette Allison"
W092,313,39,11:20:00,"AUTO EMISSION TEST GIFT CERTIFICATE",40.00,"THE SAM INGRALDI SERVICE CENTRE LOCATED AT 2888 BLOOR STREET WEST IN THE KINGSWAY DONATES - A $40 GIFT CERTIFICATE FOR AN AUTO EMISSION TEST - KEEPYOUR CAR IN COMPLIANCE WITH ONTARIO'S MANDITORY DRIVE CLEAN PROGRAM - COURTESY OF SAM INGRALDI SERVICE CENTRE IN THE KINGSWAY.","Sam Ingraldi Service Centre"
X122,314,39,11:20:00,"Two 9 hole Golf Fees at Sturgeon Point G.C.",50.00,"Come and enjoy a round of golf on the 9 hole course of Sturgeon Point Golf Club.  This club was established in 1899 and is one of the oldest courses in Ontario.  Check it out at www.sturgeonpointgolf.com.  The club is near picturesque Fenelon Falls,par 36; 2929 yards long.","Sturgeon Point Golf Club"
W152,315,39,11:20:00,"4 HOCKEY HALL OF FAME PASSES",70.00,"THE HOCKEY HALL OF FAME LOCATED AT 30 YONGE STREET DONATES - 4 COMPLIMENTARY GUEST PASSES - HERE'S AN OPPORTUNITY FOR A FAMILY OUTING TO VISIT HOCKEY HISTORYAND THE MANY MUSEUM EXHIBITS - ENJOY YOUR VISIT TO THE HOCKEY HALL OF FAME AND MUSEUM","Hockey Hall of Fame"
U126,316,39,11:20:00,"$29 Voucher for CAA Care Care Centre",29.00,"Next time you need an oil change you won't find a better place to have it done than the CAA Car Care Cntre at Kingston Road and Morningside in Scarborough. The Car Car Team under the able directon on Moenes Salib will treat you car with the fine service it deserves. The CAA Oil Change Plus package includes Tire Rotation, Oil Filter and change. Visual check of the brakes, tires, battery, fluids, air filter, lights, hoses, belts and more. You can depend on the Canadian Automobile Association to provide you with truly professional service for your vehicle. This offer good for one year and may be redeemed at any CAA Car Care Centre in Ontario","CAA Care Care Centre"
V007,317,40,11:30:00,"Fun Day Pass for Two at Wild Water Kingdom ",75.00,"Wild Water Kingdom donates a day pass for two, valued at $75. Splash your way into summer and enjoy the thrill of the many Wild Water Kingdom attractions. ","Wild Water Kingdom"
X106,318,40,11:30:00,"Gift Certificate for The Keg Steakhouse & Bar",50.00,"The KEG Steakhouse & Bar invites you to experience the steakhouse with a difference where Quality, Comfort, & Value are the key ingredients.This certificate can be used at any of the many KEG Restaurant locations.","The Keg Steakhouse and Bar"
X155,319,40,11:30:00,"Permanent (for a man or a woman)",80.00,"Modern Hair Place is a friendly, unisex salon.  An appointment is required.  This voucher is valid Monday through Thursday only, and is not valid on Fridays, Saturdays Christmas week or holidays. Modern Hair Place has been on the ""Cutting Edge"" of Hair Design for 25 years.","Modern Hair Place"
S115,320,40,11:30:00,"2008-2009 Coin Set and signed Bobby Baun",65.00,"At the Heart of the Action is Bobby Baun #21 who has signed this 2008-2009 Toronto Maple Leafs coin set., from the Royal Canadian Mint.One dollar coin has the Maple Leaf shirt in the middle of the coin, and the other coins are theregular set of a Twoonie, 50, 10, 5 and one cents  Great collector's item. Also included a book of the Toronto Maple Leafs signed by author David Shoalts.","Geneva Centre for Autism"
S145,321,40,11:30:00,"Three Moonrays",70.00,"Light up your garden with these  low voltage landscape lighting.  Includes 3-11 watt bulbs , a 60 watt lighting control unit with photocell control and 50 feet low voltage cable. You get greater illumination for a dramatic effect. They are 16 1/2 inches high with a cone shape top. Make your garden or pathway beautiful","Dickson Home Hardware"
W132,322,40,11:30:00,"REMOTE CONTROL FLYING HELICOPTER",60.00,"A AND J HOBBIES LOCATED AT 200 EDGELY BLVD. IN CONCORD DONATES - A MODEL KING REMOTE CONTROL FLYING MINI HELICOPTER - EASY TO FLY WITH BUILT IN GYROSCOPE - INFRARED 3.5 PRECISION CONTROLLER CHANNELS - A GREAT XMAS GIFT FOR A YOUTH AGE 14+ OR HIS FATHER","A & J Hobbies"
U062,323,40,11:30:00,"RAINFALL COLLECTION - 8"" BOWL MARQUIS",69.00,"WATERFORD CRYSTAL. 8"" BOWL . EXCELLENT FOR DECORATION AND JUST TO BE GIVEN AS A GIFT!!!!","Friends of Rotary"
S289,324,40,11:30:00,"TTC - Metro Pass for the month.....",126.00,"this is a Metro Pass for the use of the TTC for One month... To Claim your prize please contact Justin Van Dette who has supported East York Rotary Club and The Toronto East General Hospital Foundation for many years.","Toronto East General Hospital"
W146,325,41,11:40:00,"TWO $25 LOBLAW P C GIFTCARDS",50.00,"LOBLAW SUPERSTORES IN TORONTO DONATES - TWO $25 PRESIDENT'S CHOICE GIFT CARDS -FIND ALL YOUR HOLIDAY FOOD REQUIREMENTS AT YOUR CONVENIENT LOCAL LOBLAW SUPERSTORE  ","Loblaw Superstore"
W030,326,41,11:40:00,"$50 FLORAL GIFT CARD",50.00,"CARISMA FLORISTS LOCATED AT 720 BURNHAMTHORPE ROAD WEST IN MISSISSAUGA DONATES -A $50 GIFT CARD - DECORATE YOUR HOME FOR THE HOLIDAY SEASON WITH A FLORAL ARRANGEMENT FROM CARISKA FLORISTS.","Carisma Florists"
U028,327,41,11:40:00,"WEDGEWOOD MUSE ORNAMENT",45.00,"WEDGEWOOD MUSE ORNAMENT - BEAUTIFULLY CRAFTED OF FINE BLUE AND WHITE PORCELAIN . CAN HANG ON YOUR TREE ORIDEAL FOR A GIFT!!!!","Deborah   Cloakey"
Y036,328,41,11:40:00,"Gift Certificate for Dr. Generosity on Bloor West",50.00,"A gift certificate for $30 dinner with a $20 bottle of fine Ontario Trius wine courtesy of Royal LePage Bloor Street West. A perfect reward for after Christmas shopping in Bloor West Village.","Dr. Generosity"
W086,329,41,11:40:00,"POCKET CIGAR HUMIDOR",45.00,"R & R WOODWORK LOCATED AT 1210 LORIMAR ROAD IN MISSISSAUGA DONATES - A PERSONAL POCKET CIGAR HUMIDOR - IN BEAUTIFUL HAND CRAFTED SPANISH CEDAR WITH A HIGH GLOSS FINISH - WILL KEEP CIGARS FRESH AND MOIST - HERE'S A UNIQUE GIFT ITEM THAT WILL BE CHERISHED BY ANY CIGAR SMOKER - COURTESY OF R & R WOODWORKS","R & R Woodwork"
Y010,330,41,11:40:00,"Three-arm laundry lift",50.00,"From Greenway Home Products in Guelph, a 3-Rod stainless steel laundry lift.  This truly versatile, energy saving clothes dryer allows the rising warm air to pass through drying cloths in your unutilized ceiling space.  Each individual rod is raised and lowered by a nylon cord, for easy hanging separately as needed.  The neat, compact design allows it to be installed in many different areas.   ","Greenway Home Products"
X068,331,41,11:40:00,"Cranium Bumparena Board Game",35.00,"Bumparena - Toy from Cranium for ages 7 and up - 2 or 4 can play","Christina Mueller"
U111,332,41,11:40:00,"$25 Gift Certificate from Phoenix Pan Asian Cuisine",25.00,"Want some real variety when you dine out on Asian Cuisine. Chef William will offer you choices ranging from Thai to Cantonee to Szechuan to Hakka. Like it hot or not, William will adjust to suit your taste. Whether it's seafood, chicken, beef or pork dishes you crave, you'll find new ways to enjoy them at Phoeniz. Dine in or take out, the choice is yours and all for really great prices. The $25 voucher to share with family or friends. 3730 Kingston Road at Scarborough Golf Club Road (good for one year)","Brian Philcox"
